pair_i,count
7+7i[14],15
11+7i[18],14
13+7i[20],13
11+11i[22],11
7+11i[18],11
7+13i[20],11
13+11i[24],10
13+13i[26],10
23+7i[0],10
23+11i[4],10
23+13i[6],10
23+23i[16],10
17+7i[24],9
19+7i[26],9
17+11i[28],9
19+11i[0],9
17+13i[0],9
19+13i[2],9
29+7i[6],9
29+11i[10],9
29+13i[12],9
7+23i[0],9
7+29i[6],9
17+17i[4],8
23+17i[10],8
29+17i[16],8
11+13i[24],8
7+17i[24],8
11+23i[4],8
7+i[8],8
11+29i[10],8
19+17i[6],7
23+19i[12],7
29+23i[22],7
11+17i[28],7
29+29i[28],7
13+23i[6],7
17+23i[10],7
13+29i[12],7
11+i[12],7
17+29i[16],7
19+23i[12],7
19+29i[18],7
7+3i[10],6
7+5i[12],6
11+3i[14],6
13+3i[16],6
11+5i[16],6
13+5i[18],6
17+3i[20],6
1+7i[8],6
19+19i[8],6
1+11i[12],6
1+13i[14],6
1+17i[18],6
29+19i[18],6
7+19i[26],6
13+17i[0],6
13+i[14],6
17+i[18],6
19+i[20],6
17+5i[22],5
23+3i[26],5
23+5i[28],5
29+3i[2],5
29+5i[4],5
11+19i[0],5
13+19i[2],5
17+19i[6],5
23+29i[22],5
23+i[24],5
19+3i[22],4
19+5i[24],4
1+3i[4],4
1+5i[6],4
1+19i[20],4
1+23i[24],4
1+29i[0],4
1+i[2],4
29+i[0],4
2+2i[4],1
3+3i[6],1
5+3i[8],1
5+5i[10],1
