time,x,symbol,is_head,state,transition_code,residue,prime,exponent,scale_level,term_value,term_log10
0,-4,0,0,,,1,31,3,1,29791,4.474085081502818
0,-3,0,0,,,1,61,3,1,226981,5.355989505032301
0,-2,0,0,,,1,151,3,1,3442951,6.536930841879508
0,-1,0,0,,,1,181,3,1,5929741,6.773035724607554
0,0,0,1,A,R,11,11,7,1,19487171,7.289748796107575
0,1,0,0,,,1,211,3,1,9393931,6.972847365893078
0,2,0,0,,,1,241,3,1,13997521,7.146051127724605
0,3,0,0,,,1,271,3,1,19902511,7.298907872623217
1,-4,0,0,,,1,331,4,2,12003612721,10.079311975102875
1,-3,0,0,,,1,421,4,2,31414372081,10.497128383342673
1,-2,0,0,,,1,541,4,2,85662167761,10.932789060426277
1,-1,0,0,,,1,571,4,2,106302733681,11.026544432983393
1,0,1,0,,,7,7,5,2,16807,4.225490200071284
1,1,0,1,B,L,11,41,8,2,7984925229121,12.902270853757884
1,2,0,0,,,1,601,4,2,130466162401,11.115497888010959
1,3,0,0,,,1,631,4,2,158532181921,11.200117436976537
2,-4,0,0,,,1,661,4,2,190899960241,11.28080583794256
2,-3,0,0,,,1,691,4,2,227988105361,11.357912189496794
2,-2,0,0,,,1,751,4,2,318097128001,11.502559748016674
2,-1,0,0,,,1,811,4,2,432596913841,11.636083416844624
2,0,1,1,A,L,13,13,8,2,815730721,8.911546818454694
2,1,1,0,,,7,37,5,2,69343957,7.841008620334975
2,2,0,0,,,1,991,4,2,964483090561,11.984294617941101
2,3,0,0,,,1,1021,4,2,1086683238481,12.036102968347642
3,-4,0,0,,,1,1051,5,3,1282370681030251,15.108013580141211
3,-3,0,0,,,1,1171,5,3,2201833501574851,15.342784475361816
3,-2,0,0,,,1,1201,5,3,2498705294406001,15.39771503701453
3,-1,0,1,B,L,11,71,9,3,45848500718449031,16.66132513847168
3,0,1,0,,,7,67,6,3,90458382169,10.956448816204958
3,1,1,0,,,7,97,6,3,832972004929,11.92063040559747
3,2,0,0,,,1,1231,5,3,2826768640155151,15.451290264656581
3,3,0,0,,,1,1291,5,3,3586172792487451,15.5546312113321
4,-4,0,0,,,1,1321,5,3,4022667049110601,15.604514088072635
4,-3,0,0,,,1,1381,5,3,5023060313370901,15.700968392893156
4,-2,0,1,A,R,11,101,9,3,1093685272684360901,18.038892364043782
4,-1,1,0,,,7,127,6,3,4195872914689,12.622822325735742
4,0,1,0,,,7,157,6,3,14976071831449,13.175397914455402
4,1,1,0,,,7,277,6,3,451729667968489,14.654878614386691
4,2,0,0,,,1,1471,5,3,6887527781596351,15.83806336363765
4,3,0,0,,,1,1531,5,3,8411548502536651,15.924875953491306
5,-4,0,0,,,1,1621,5,3,11192190001532101,16.048915074242576
5,-3,0,0,,,1,1741,5,3,15995353981724701,16.203993855586656
5,-2,1,0,,,7,307,6,3,837201991720249,14.922830252863118
5,-1,1,1,B,HALT,13,43,12,3,39959630797262576401,19.601621466955038
5,0,1,0,,,7,337,6,3,1464803622199009,15.165779405228031
5,1,1,0,,,7,367,6,3,2443410216924769,15.387996385512537
5,2,0,0,,,1,1801,5,3,18948226352409001,16.277568564097667
5,3,0,0,,,1,1831,5,3,20579827088718151,16.313441721508482
6,-4,0,0,,,1,1861,5,3,22321936361565301,16.348731865653836
6,-3,0,0,,,1,1951,5,3,28267431405534751,16.45128634697259
6,-2,1,0,,,7,397,6,3,3915101633817529,15.592743040578691
6,-1,1,0,,,7,457,6,3,9109555799784049,15.9594972004191
6,0,1,1,H,,13,73,10,3,4297625829703557649,18.63322860120456
6,1,1,0,,,7,487,6,3,13340550994697809,16.125173767287805
6,2,0,0,,,1,2011,5,3,32889733386571051,16.51706035298371
6,3,0,0,,,1,2131,5,3,43945787218699651,16.64291724857101
